#Type	Kind	Base	Namespace	Path	Gate	Summary
AbstractStateContext	class	MonoBehaviour	SombraStudios.Shared.Examples.Patterns.Behavioural.State	Examples/Patterns/Behavioural/State/AbstractStateContext.cs	-	Context stores a reference to one of the concrete state objects and delegates to it all state-specific work
ActionExample	class	MonoBehaviour	SombraStudios.Shared.Examples.Delegates	Examples/Delegates/ActionExample.cs	-	Action is a void return value Delegate
AdsInitializer	class	MonoBehaviour	SombraStudios.Shared.Services.Advertisement	Services/Advertisement/AdsInitializer.cs	UNITY_ADVERTISEMENTS	Class for initializing the Advertisement API
AlwaysFalseConditionSO	class	ConditionSO	SombraStudios.Shared.ScriptableObjects.Conditions	ScriptableObjects/Conditions/AlwaysFalseConditionSO.cs	-	Represents a condition that is always evaluated as
AlwaysTrueConditionSO	class	ConditionSO	SombraStudios.Shared.ScriptableObjects.Conditions	ScriptableObjects/Conditions/AlwaysTrueConditionSO.cs	-	Represents a condition that is always evaluated as
AmmoReloadSystem	class	MonoBehaviour	SombraStudios.Shared.Systems	Systems/AmmoReloadSystem.cs	-	Manages the state of the reloading system
AndConditionSO	class	ConditionSO	SombraStudios.Shared.ScriptableObjects.Conditions	ScriptableObjects/Conditions/AndConditionSO.cs	-	Represents a composite condition that evaluates to if all contained conditions are valid
AndroidPhone	class	IUsbPhone	SombraStudios.Shared.Examples.Patterns.Structural.Adapter.Object	Examples/Patterns/Structural/Adapter/Object/AndroidPhone.cs	-	-
AnimationController	class	MonoBehaviour	SombraStudios.Shared.Animations	Animations/AnimationController.cs	-	Controls Animation component giving extra utility methods
AnimationCurveValueSO	class	ScriptableObject	SombraStudios.Shared.Utility	Utility/AnimationCurveValueSO.cs	-	Scriptable object to use Animation Curves as values
AnimationEvent	struct	-	SombraStudios.Shared.Animations.StateEvents	Animations/StateEvents/Structs/AnimationEvent.cs	-	Struct representing an animation event
AnimationEventBehaviourData	class	-	SombraStudios.Shared.Animations.StateEvents	Animations/StateEvents/StateMachineBehaviour/AnimationStateEventBehaviour.cs	-	Data class for animation event behaviour
AnimationEventData	struct	-	SombraStudios.Shared.Animations.StateEvents	Animations/StateEvents/Structs/AnimationEventData.cs	-	Struct representing the data associated with an animation event
AnimationStateEnterEventBehaviour	class	StateMachineBehaviour	SombraStudios.Shared.Animations.StateEvents	Animations/StateEvents/StateMachineBehaviour/AnimationStateEnterEventBehaviour.cs	-	Calls the 'OnAnimationStateBegan' function on any supported component when the target animation begins
AnimationStateEventBehaviour	class	StateMachineBehaviour	SombraStudios.Shared.Animations.StateEvents	Animations/StateEvents/StateMachineBehaviour/AnimationStateEventBehaviour.cs	-	StateMachineBehaviour that handles animation state events
AnimationStateEventsReceiver	class	MonoBehaviour	SombraStudios.Shared.Animations.StateEvents	Animations/StateEvents/AnimationStateEventsReceiver.cs	-	Receives and handles animation state events
AnimationStateExitEventBehaviour	class	StateMachineBehaviour	SombraStudios.Shared.Animations.StateEvents	Animations/StateEvents/StateMachineBehaviour/AnimationStateExitEventBehaviour.cs	-	Calls the 'OnAnimationStateExited' function on any supported component when the target animation exits
AnimatorController	class	MonoBehaviour	SombraStudios.Shared.Animations	Animations/AnimatorController.cs	-	Helper class for working with Unity's Animator component
AnimatorParameterReferenceGenerator	class	-	SombraStudios.Shared.Animations.AnimatorParameterReference.Editor	Animations/AnimatorParameterReference/Editor/AnimatorParameterReferenceGenerator.cs	UNITY_EDITOR	Utility class for generating parameter reference assets for an AnimatorController
AnimatorParameterReferenceSO	class	ScriptableObject	SombraStudios.Shared.Animations.AnimatorParameterReference	Animations/AnimatorParameterReference/AnimatorParameterReferenceSO.cs	-	-
AnimatorParameterReferenceSOEditor	class	Editor	SombraStudios.Shared.Animations.AnimatorParameterReference.Editor	Animations/AnimatorParameterReference/Editor/AnimatorParameterReferenceSOEditor.cs	UNITY_EDITOR	Custom editor for the AnimatorParameterReferenceSO ScriptableObject
AnimatorStateObjectPreview	class	ObjectPreview	SombraStudios.Shared.Animations.Editor	Animations/Editor/AnimatorStateObjectPreview.cs	UNITY_EDITOR	Provides a custom preview for AnimatorState objects in the Unity Editor
APIHelper	class	-	SombraStudios.Shared.Services.WebAPI	Services/WebAPI/APIHelper.cs	-	Example API Get call
ApplePhone	class	ILightningPhone	SombraStudios.Shared.Examples.Patterns.Structural.Adapter.Object	Examples/Patterns/Structural/Adapter/Object/ApplePhone.cs	-	-
AssetFile<T>	class	Object	SombraStudios.Shared.Utility.Resources	Utility/Resources/AssetFile.cs	-	-
AssetOnlyAttribute	class	PropertyAttribute	SombraStudios.Shared.Attributes	Attributes/AssetOnlyAttribute.cs	-	Attribute used to mark a property as editable only within assets, not with scene objects
AssetOnlyDrawer	class	PropertyDrawer	SombraStudios.Shared.Attributes.Editor	Attributes/Editor/AssetOnlyDrawer.cs	UNITY_EDITOR	Custom property drawer for the AssetOnlyAttribute
AssetSearchWindow<T>	class	SearchWindow	SombraStudios.Shared.Tools.Search.AssetOrComponent	Tools/Search/AssetOrComponent/Base/AssetSearchWindow.cs	-	Abstract class for creating a custom Editor window to search for assets of type T
AttachGameObjectsToParticles	class	MonoBehaviour	SombraStudios.Shared.VFX	VFX/AttachGameObjectsToParticles.cs	-	-
AttackModes	enum	-	StyleSheet	CodeStyle.cs	-	-
AudioEventActionSO	class	RaiseEventActionSO	SombraStudios.Shared.Systems.Events	Systems/Events/EventActions/AudioEventActionSO.cs	-	-
AudioStrategy	class	StrategySO	SombraStudios.Shared.Audio.Strategies	Audio/Strategies/AudioStrategy.cs	-	-
AudioVolumeConfigurator	class	MonoBehaviour	SombraStudios.Shared.Audio	Audio/AudioVolumeConfigurator.cs	-	Singleton Class to manage AudioMixer volumes
AutoAimBehaviourController	class	MonoBehaviour	SombraStudios.Shared.Gameplay.Behaviours.Aim	Gameplay/Behaviours/Aim/AutoAimBehaviourController.cs	-	Controls the auto-aim behaviour of a game object
